startup_name,sector,stage,region,business_model,founded_year,team_size,founder_count,founder_experience_years,has_technical_founder,funding_total_usd,monthly_burn_usd,runway_months,revenue_growth_pct,customer_growth_pct,churn_pct,burn_multiple,annual_revenue_run_rate,description,founder_bios,recent_update,failed_within_24_months,risk_score
SaasLabs0013,saas,seed,canada,b2b2c,2019,19,2,12,0,3287697,15000,29.7,156.6,-12.5,28.8,2.75,3271531,"seed B2B2C startup building a workflow automation software for operations teams. Team messaging emphasizes experienced founders and strong retention, while operating in a market facing crowded market and limited runway.",Founding team of 2. Combined founder experience averages about 12 years. The team has prior startup and operator exposure and lacks a dedicated technical co-founder.,"Recent investor update: management reports 156.6% revenue growth, 28.8% churn, and approximately 29.7 months of runway. Leadership says demand in saas remains mixed.",0,0.37
EdtechLabs0014,edtech,pre_seed,africa,b2b,2023,6,2,9,1,206533,15000,14.4,54.7,-13.9,27.2,5.28,81153,"pre seed B2B startup building a credentialing and assessment tools for schools. Team messaging emphasizes clear product-market fit and growing revenue base, while operating in a market facing go-to-market challenges and unclear differentiation.",Founding team of 2. Combined founder experience averages about 9 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 54.7% revenue growth, 27.2% churn, and approximately 14.4 months of runway. Leadership says demand in edtech remains mixed.",1,0.73
LogisticsLabs0015,logistics,pre_seed,us,b2b2c,2020,4,1,12,1,1001328,15000,11.3,222.7,235.8,30.3,7.24,315533,"pre seed B2B2C startup building a route optimization platform for fleet operators. Team messaging emphasizes repeatable acquisition engine and strong retention, while operating in a market facing weak retention and limited runway.",Founding team of 1. Combined founder experience averages about 12 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 222.7% revenue growth, 30.3% churn, and approximately 11.3 months of runway. Leadership says demand in logistics remains mixed.",1,0.61
EcommerceLabs0016,ecommerce,series_b,asia,b2b,2021,46,2,6,1,24036690,123307,12.0,231.3,237.7,30.4,6.58,9619689,"series b B2B startup building a inventory and fulfillment software for merchants. Team messaging emphasizes strong retention and clear product-market fit, while operating in a market facing crowded market and unclear differentiation.",Founding team of 2. Combined founder experience averages about 6 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 231.3% revenue growth, 30.4% churn, and approximately 12.0 months of runway. Leadership says demand in ecommerce remains mixed.",0,0.46
SaasLabs0017,saas,pre_seed,latam,b2b,2021,8,2,1,1,788415,15000,4.9,188.8,95.6,18.3,5.6,997732,"pre seed B2B startup building a analytics dashboard for mid-market companies. Team messaging emphasizes strong retention and repeatable acquisition engine, while operating in a market facing weak retention and high burn.",Founding team of 2. Combined founder experience averages about 1 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 188.8% revenue growth, 18.3% churn, and approximately 4.9 months of runway. Leadership says demand in saas remains mixed.",1,0.7
AiToolsLabs0018,ai_tools,series_b,europe,b2b,2024,170,3,11,1,19760857,60869,18.6,48.8,208.3,1.1,7.44,15960409,"series b B2B startup building a multimodal search and reasoning tools. Team messaging emphasizes repeatable acquisition engine and capital efficient, while operating in a market facing weak retention and unclear differentiation.",Founding team of 3. Combined founder experience averages about 11 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 48.8% revenue growth, 1.1% churn, and approximately 18.6 months of runway. Leadership says demand in ai_tools remains mixed.",0,0.18
HealthtechLabs0019,healthtech,series_b,europe,b2c,2019,144,3,17,1,33889764,107792,11.0,14.4,117.4,33.0,5.58,45893800,"series b B2C startup building a remote monitoring tools for outpatient care. Team messaging emphasizes growing revenue base and experienced founders, while operating in a market facing unclear differentiation and limited runway.",Founding team of 3. Combined founder experience averages about 17 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 14.4% revenue growth, 33.0% churn, and approximately 11.0 months of runway. Leadership says demand in healthtech remains fragile.",1,0.65
FintechLabs0020,fintech,pre_seed,canada,b2b,2023,5,4,15,1,1172009,15000,27.3,194.9,38.5,3.9,4.37,1112718,"pre seed B2B startup building a embedded finance tools for small businesses. Team messaging emphasizes strong retention and capital efficient, while operating in a market facing go-to-market challenges and weak retention.",Founding team of 4. Combined founder experience averages about 15 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 194.9% revenue growth, 3.9% churn, and approximately 27.3 months of runway. Leadership says demand in fintech remains strong.",0,0.19
SaasLabs0021,saas,series_a,canada,b2b,2021,24,4,20,1,10640615,34591,20.0,32.5,204.4,17.8,2.33,10471291,"series a B2B startup building a workflow automation software for operations teams. Team messaging emphasizes strong retention and clear product-market fit, while operating in a market facing high burn and go-to-market challenges.",Founding team of 4. Combined founder experience averages about 20 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 32.5% revenue growth, 17.8% churn, and approximately 20.0 months of runway. Leadership says demand in saas remains mixed.",0,0.22
LogisticsLabs0022,logistics,seed,africa,b2b,2019,26,4,5,1,3411688,21750,27.1,145.4,211.6,18.2,6.73,2803752,"seed B2B startup building a route optimization platform for fleet operators. Team messaging emphasizes repeatable acquisition engine and clear product-market fit, while operating in a market facing unclear differentiation and weak retention.",Founding team of 4. Combined founder experience averages about 5 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 145.4% revenue growth, 18.2% churn, and approximately 27.1 months of runway. Leadership says demand in logistics remains mixed.",0,0.32
SaasLabs0023,saas,series_a,europe,b2c,2025,51,2,9,1,6934149,16769,11.6,125.8,28.6,8.9,5.7,7347623,"series a B2C startup building a workflow automation software for operations teams. Team messaging emphasizes clear product-market fit and repeatable acquisition engine, while operating in a market facing weak retention and limited runway.",Founding team of 2. Combined founder experience averages about 9 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 125.8% revenue growth, 8.9% churn, and approximately 11.6 months of runway. Leadership says demand in saas remains mixed.",0,0.45
BiotechLabs0024,biotech,seed,canada,b2c,2024,5,1,19,1,3700766,15000,13.5,220.7,248.3,19.3,6.01,4440187,"seed B2C startup building a AI-assisted drug discovery workflows. Team messaging emphasizes clear product-market fit and capital efficient, while operating in a market facing weak retention and unclear differentiation.",Founding team of 1. Combined founder experience averages about 19 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 220.7% revenue growth, 19.3% churn, and approximately 13.5 months of runway. Leadership says demand in biotech remains mixed.",0,0.26
BiotechLabs0025,biotech,pre_seed,europe,b2c,2024,11,2,15,1,1220138,15000,13.6,132.4,-6.5,22.9,1.52,845003,"pre seed B2C startup building a AI-assisted drug discovery workflows. Team messaging emphasizes experienced founders and clear product-market fit, while operating in a market facing weak retention and high burn.",Founding team of 2. Combined founder experience averages about 15 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 132.4% revenue growth, 22.9% churn, and approximately 13.6 months of runway. Leadership says demand in biotech remains mixed.",0,0.37
BiotechLabs0026,biotech,pre_seed,latam,b2b,2024,10,3,3,1,209231,15000,12.4,155.5,231.1,23.2,6.16,298032,"pre seed B2B startup building a AI-assisted drug discovery workflows. Team messaging emphasizes strong retention and growing revenue base, while operating in a market facing high burn and go-to-market challenges.",Founding team of 3. Combined founder experience averages about 3 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 155.5% revenue growth, 23.2% churn, and approximately 12.4 months of runway. Leadership says demand in biotech remains mixed.",0,0.5
EdtechLabs0027,edtech,seed,us,b2c,2021,10,4,9,1,1710771,15000,7.4,64.0,167.3,32.6,4.82,2330137,"seed B2C startup building a AI tutoring assistant for students. Team messaging emphasizes clear product-market fit and capital efficient, while operating in a market facing crowded market and limited runway.",Founding team of 4. Combined founder experience averages about 9 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 64.0% revenue growth, 32.6% churn, and approximately 7.4 months of runway. Leadership says demand in edtech remains mixed.",1,0.68
SaasLabs0028,saas,pre_seed,europe,b2b2c,2019,12,1,12,1,877143,15000,20.5,-16.6,117.3,17.7,3.75,476536,"pre seed B2B2C startup building a analytics dashboard for mid-market companies. Team messaging emphasizes repeatable acquisition engine and capital efficient, while operating in a market facing unclear differentiation and high burn.",Founding team of 1. Combined founder experience averages about 12 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports -16.6% revenue growth, 17.7% churn, and approximately 20.5 months of runway. Leadership says demand in saas remains fragile.",0,0.42
LogisticsLabs0029,logistics,series_b,europe,b2c,2025,191,4,14,1,30011719,81435,9.6,232.3,72.9,16.3,6.13,25653251,"series b B2C startup building a warehouse automation orchestration software. Team messaging emphasizes clear product-market fit and experienced founders, while operating in a market facing crowded market and unclear differentiation.",Founding team of 4. Combined founder experience averages about 14 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 232.3% revenue growth, 16.3% churn, and approximately 9.6 months of runway. Leadership says demand in logistics remains mixed.",0,0.47
CybersecurityLabs0030,cybersecurity,pre_seed,canada,b2b,2022,6,3,9,1,1265578,15000,28.6,3.1,211.8,17.6,6.19,1311029,"pre seed B2B startup building a security automation for lean IT teams. Team messaging emphasizes repeatable acquisition engine and clear product-market fit, while operating in a market facing unclear differentiation and crowded market.",Founding team of 3. Combined founder experience averages about 9 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 3.1% revenue growth, 17.6% churn, and approximately 28.6 months of runway. Leadership says demand in cybersecurity remains fragile.",1,0.56
HealthtechLabs0031,healthtech,pre_seed,latam,b2c,2022,7,3,16,1,992346,15000,17.9,75.0,127.9,11.4,2.23,1073645,"pre seed B2C startup building a clinical workflow automation for providers. Team messaging emphasizes strong retention and growing revenue base, while operating in a market facing go-to-market challenges and high burn.",Founding team of 3. Combined founder experience averages about 16 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 75.0% revenue growth, 11.4% churn, and approximately 17.9 months of runway. Leadership says demand in healthtech remains mixed.",0,0.11
SaasLabs0032,saas,pre_seed,latam,b2b,2022,7,1,7,0,476316,15000,22.1,14.2,-0.7,2.9,2.69,674527,"pre seed B2B startup building a collaboration software for distributed teams. Team messaging emphasizes clear product-market fit and strong retention, while operating in a market facing crowded market and limited runway.",Founding team of 1. Combined founder experience averages about 7 years. The team has prior startup and operator exposure and lacks a dedicated technical co-founder.,"Recent investor update: management reports 14.2% revenue growth, 2.9% churn, and approximately 22.1 months of runway. Leadership says demand in saas remains fragile.",0,0.34
ClimateLabs0033,climate,seed,latam,b2b,2018,7,3,16,0,4111377,15219,18.6,165.3,32.8,28.6,7.62,525316,"seed B2B startup building a carbon measurement and reporting platform. Team messaging emphasizes strong retention and growing revenue base, while operating in a market facing unclear differentiation and limited runway.",Founding team of 3. Combined founder experience averages about 16 years. The team has prior startup and operator exposure and lacks a dedicated technical co-founder.,"Recent investor update: management reports 165.3% revenue growth, 28.6% churn, and approximately 18.6 months of runway. Leadership says demand in climate remains mixed.",0,0.49
AiToolsLabs0034,ai_tools,series_a,canada,b2c,2024,69,4,15,0,8123430,33714,4.6,239.2,16.3,26.9,5.19,3224751,"series a B2C startup building a LLM workflow automation for knowledge workers. Team messaging emphasizes capital efficient and repeatable acquisition engine, while operating in a market facing high burn and limited runway.",Founding team of 4. Combined founder experience averages about 15 years. The team has prior startup and operator exposure and lacks a dedicated technical co-founder.,"Recent investor update: management reports 239.2% revenue growth, 26.9% churn, and approximately 4.6 months of runway. Leadership says demand in ai_tools remains mixed.",1,0.84
HealthtechLabs0035,healthtech,pre_seed,latam,b2b,2025,6,3,2,0,1052172,15000,9.3,51.4,234.2,21.1,6.53,312209,"pre seed B2B startup building a patient engagement platform for chronic care. Team messaging emphasizes growing revenue base and capital efficient, while operating in a market facing go-to-market challenges and high burn.",Founding team of 3. Combined founder experience averages about 2 years. The team has prior startup and operator exposure and lacks a dedicated technical co-founder.,"Recent investor update: management reports 51.4% revenue growth, 21.1% churn, and approximately 9.3 months of runway. Leadership says demand in healthtech remains mixed.",1,0.83
ClimateLabs0036,climate,series_a,us,b2b,2022,53,3,15,0,14739583,46891,10.4,125.8,122.9,21.3,7.17,16240085,"series a B2B startup building a sustainability intelligence tools for enterprises. Team messaging emphasizes experienced founders and strong retention, while operating in a market facing crowded market and high burn.",Founding team of 3. Combined founder experience averages about 15 years. The team has prior startup and operator exposure and lacks a dedicated technical co-founder.,"Recent investor update: management reports 125.8% revenue growth, 21.3% churn, and approximately 10.4 months of runway. Leadership says demand in climate remains mixed.",0,0.51
AiToolsLabs0037,ai_tools,seed,us,b2b2c,2022,25,1,6,1,4459689,27547,7.9,138.0,185.0,17.7,1.18,2327697,"seed B2B2C startup building a AI copilots for enterprise productivity. Team messaging emphasizes experienced founders and strong retention, while operating in a market facing high burn and weak retention.",Founding team of 1. Combined founder experience averages about 6 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 138.0% revenue growth, 17.7% churn, and approximately 7.9 months of runway. Leadership says demand in ai_tools remains mixed.",0,0.37
EcommerceLabs0038,ecommerce,seed,europe,b2c,2024,13,1,15,0,3461817,15000,23.9,213.5,244.9,1.0,7.02,2398916,"seed B2C startup building a conversion optimization tools for online brands. Team messaging emphasizes capital efficient and growing revenue base, while operating in a market facing weak retention and limited runway.",Founding team of 1. Combined founder experience averages about 15 years. The team has prior startup and operator exposure and lacks a dedicated technical co-founder.,"Recent investor update: management reports 213.5% revenue growth, 1.0% churn, and approximately 23.9 months of runway. Leadership says demand in ecommerce remains strong.",0,0.13
BiotechLabs0039,biotech,seed,us,b2b,2020,20,3,15,1,1768595,15000,20.0,195.8,208.6,11.6,0.6,1082355,"seed B2B startup building a AI-assisted drug discovery workflows. Team messaging emphasizes strong retention and clear product-market fit, while operating in a market facing crowded market and high burn.",Founding team of 3. Combined founder experience averages about 15 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 195.8% revenue growth, 11.6% churn, and approximately 20.0 months of runway. Leadership says demand in biotech remains mixed.",0,0.01
BiotechLabs0040,biotech,series_b,europe,b2b,2022,102,4,16,1,42654421,172709,13.4,228.9,145.1,30.9,6.98,17674759,"series b B2B startup building a diagnostics platform for early disease detection. Team messaging emphasizes experienced founders and growing revenue base, while operating in a market facing weak retention and crowded market.",Founding team of 4. Combined founder experience averages about 16 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 228.9% revenue growth, 30.9% churn, and approximately 13.4 months of runway. Leadership says demand in biotech remains mixed.",0,0.4
ClimateLabs0041,climate,series_a,africa,b2c,2025,59,2,15,1,8577416,34762,17.7,102.9,86.4,7.4,5.73,7356819,"series a B2C startup building a carbon measurement and reporting platform. Team messaging emphasizes clear product-market fit and strong retention, while operating in a market facing weak retention and unclear differentiation.",Founding team of 2. Combined founder experience averages about 15 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 102.9% revenue growth, 7.4% churn, and approximately 17.7 months of runway. Leadership says demand in climate remains strong.",0,0.23
EcommerceLabs0042,ecommerce,seed,asia,b2c,2020,23,4,2,0,3534973,20879,26.6,98.9,150.7,16.5,5.92,2173895,"seed B2C startup building a inventory and fulfillment software for merchants. Team messaging emphasizes capital efficient and strong retention, while operating in a market facing unclear differentiation and weak retention.",Founding team of 4. Combined founder experience averages about 2 years. The team has prior startup and operator exposure and lacks a dedicated technical co-founder.,"Recent investor update: management reports 98.9% revenue growth, 16.5% churn, and approximately 26.6 months of runway. Leadership says demand in ecommerce remains mixed.",0,0.48
CybersecurityLabs0043,cybersecurity,seed,latam,b2c,2023,29,4,11,1,4843200,28682,4.0,-1.5,183.8,32.3,7.98,5425108,"seed B2C startup building a identity security tools for modern enterprises. Team messaging emphasizes strong retention and repeatable acquisition engine, while operating in a market facing unclear differentiation and high burn.",Founding team of 4. Combined founder experience averages about 11 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports -1.5% revenue growth, 32.3% churn, and approximately 4.0 months of runway. Leadership says demand in cybersecurity remains fragile.",1,0.9
ClimateLabs0044,climate,series_b,us,b2b,2018,77,3,12,1,28387812,111615,18.3,194.0,38.5,3.7,7.03,26388332,"series b B2B startup building a carbon measurement and reporting platform. Team messaging emphasizes clear product-market fit and growing revenue base, while operating in a market facing high burn and go-to-market challenges.",Founding team of 3. Combined founder experience averages about 12 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 194.0% revenue growth, 3.7% churn, and approximately 18.3 months of runway. Leadership says demand in climate remains strong.",0,0.16
BiotechLabs0045,biotech,seed,latam,b2b,2018,10,4,10,1,1369598,15000,12.3,138.6,186.3,15.4,2.38,1736589,"seed B2B startup building a AI-assisted drug discovery workflows. Team messaging emphasizes clear product-market fit and repeatable acquisition engine, while operating in a market facing crowded market and high burn.",Founding team of 4. Combined founder experience averages about 10 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 138.6% revenue growth, 15.4% churn, and approximately 12.3 months of runway. Leadership says demand in biotech remains mixed.",0,0.17
EcommerceLabs0046,ecommerce,seed,africa,b2b,2022,23,1,13,0,1161412,15000,23.1,204.9,269.4,27.4,2.23,1397060,"seed B2B startup building a conversion optimization tools for online brands. Team messaging emphasizes repeatable acquisition engine and capital efficient, while operating in a market facing limited runway and weak retention.",Founding team of 1. Combined founder experience averages about 13 years. The team has prior startup and operator exposure and lacks a dedicated technical co-founder.,"Recent investor update: management reports 204.9% revenue growth, 27.4% churn, and approximately 23.1 months of runway. Leadership says demand in ecommerce remains mixed.",0,0.21
EdtechLabs0047,edtech,seed,asia,b2c,2022,28,4,2,1,1852362,15000,11.0,181.8,40.3,5.5,4.55,2699325,"seed B2C startup building a credentialing and assessment tools for schools. Team messaging emphasizes growing revenue base and experienced founders, while operating in a market facing high burn and weak retention.",Founding team of 4. Combined founder experience averages about 2 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 181.8% revenue growth, 5.5% churn, and approximately 11.0 months of runway. Leadership says demand in edtech remains strong.",1,0.56
BiotechLabs0048,biotech,series_b,europe,b2c,2023,76,1,15,1,27140745,158795,22.6,244.6,289.7,28.4,3.24,32189546,"series b B2C startup building a AI-assisted drug discovery workflows. Team messaging emphasizes experienced founders and growing revenue base, while operating in a market facing crowded market and unclear differentiation.",Founding team of 1. Combined founder experience averages about 15 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 244.6% revenue growth, 28.4% churn, and approximately 22.6 months of runway. Leadership says demand in biotech remains mixed.",0,0.18
CybersecurityLabs0049,cybersecurity,seed,asia,b2b,2024,20,3,4,1,959921,15000,28.5,68.6,177.2,23.0,5.27,668490,"seed B2B startup building a security automation for lean IT teams. Team messaging emphasizes experienced founders and clear product-market fit, while operating in a market facing crowded market and high burn.",Founding team of 3. Combined founder experience averages about 4 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 68.6% revenue growth, 23.0% churn, and approximately 28.5 months of runway. Leadership says demand in cybersecurity remains mixed.",0,0.5
FintechLabs0050,fintech,series_b,europe,b2b2c,2019,74,1,8,1,38081580,132508,21.1,180.6,283.0,15.3,6.07,8826714,"series b B2B2C startup building a embedded finance tools for small businesses. Team messaging emphasizes repeatable acquisition engine and strong retention, while operating in a market facing unclear differentiation and limited runway.",Founding team of 1. Combined founder experience averages about 8 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 180.6% revenue growth, 15.3% churn, and approximately 21.1 months of runway. Leadership says demand in fintech remains mixed.",0,0.36
EcommerceLabs0051,ecommerce,series_b,europe,b2b,2023,100,2,15,1,36339448,51344,21.5,127.0,293.0,13.2,3.49,10346307,"series b B2B startup building a conversion optimization tools for online brands. Team messaging emphasizes clear product-market fit and strong retention, while operating in a market facing go-to-market challenges and high burn.",Founding team of 2. Combined founder experience averages about 15 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 127.0% revenue growth, 13.2% churn, and approximately 21.5 months of runway. Leadership says demand in ecommerce remains mixed.",0,0.15
